Rank,AU,PY,TI,TC
1,VAN DIJK J;HACKER K,2003,THE DIGITAL DIVIDE AS A COMPLEX AND DYNAMIC PHENOMENON,662
2,LIVINGSTONE S;HELSPER E,2007,"GRADATIONS IN DIGITAL INCLUSION: CHILDREN, YOUNG PEOPLE AND THE DIGITAL DIVIDE",584
3,SELWYN N,2004,RECONSIDERING POLITICAL AND POPULAR UNDERSTANDINGS OF THE DIGITAL DIVIDE,559
4,VAN DEURSEN AJAM;VAN DIJK J,2014,THE DIGITAL DIVIDE SHIFTS TO DIFFERENCES IN USAGE,554
5,VAN DEURSEN AJAM;VAN DIJK J,2011,INTERNET SKILLS AND THE DIGITAL DIVIDE,402
6,IIVARI N;SHARMA S;VENTÄ-OLKKONEN L,2020,DIGITAL TRANSFORMATION OF EVERYDAY LIFE – HOW COVID-19 PANDEMIC TRANSFORMED THE BASIC EDUCATION OF THE YOUNG GENERATION AND WHY INFORMATION MANAGEMENT RESEARCH SHOULD CARE?,368
7,FRIEMEL TN,2016,THE DIGITAL DIVIDE HAS GROWN OLD: DETERMINANTS OF A DIGITAL DIVIDE AMONG SENIORS,345
8,INTRONA LD;NISSENBAUM H,2000,SHAPING THE WEB: WHY THE POLITICS OF SEARCH ENGINES MATTERS,340
9,BONFADELLI H,2002,THE INTERNET AND KNOWLEDGE GAPS - A THEORETICAL AND EMPIRICAL INVESTIGATION,335
10,SCHEERDER A;VAN DEURSEN A;VAN DIJK J,2017,"DETERMINANTS OF INTERNET SKILLS, USES AND OUTCOMES. A SYSTEMATIC REVIEW OF THE SECOND- AND THIRD-LEVEL DIGITAL DIVIDE",303
