"About the data: Exported on Oct 14, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010 or 2011; Fields of Research (ANZSRC 2020) is 38 Economics or 35 Commerce, Management, Tourism and Services or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,
Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references
pub.1077130253,,Disseminating relevant health information to underserved audiences: implications of the Digital Divide Pilot Projects.,"OBJECTIVE: This paper examines the influence of the digital divide on disparities in health outcomes for vulnerable populations, identifying implications for medical and public libraries. METHOD: The paper describes the results of the Digital Divide Pilot Projects demonstration research programs funded by the National Cancer Institute to test new strategies for disseminating relevant health information to underserved and at-risk audiences. RESULTS: The Digital Divide Pilot Projects field-tested innovative systemic strategies for helping underserved populations access and utilize relevant health information to make informed health-related decisions about seeking appropriate health care and support, resisting avoidable and significant health risks, and promoting their own health. IMPLICATIONS: The paper builds on the Digital Divide Pilot Projects by identifying implications for developing health communication strategies that libraries can adopt to provide digital health information to vulnerable populations.",Journal of the Medical Library Association,2005,93,4 Suppl,s68-73,"Kreps, Gary L",George Mason University,United States,https://app.dimensions.ai/details/publication/pub.1077130253,58,"[Chang, Betty L.; Bakken, Suzanne; Brown, S. Scott; Houston, Thomas K.; Kreps, Gary L.; Kukafka, Rita; Safran, Charles; Stavri, P. Zoe]|[ur.0630105350.27; ur.01065226015.05; ur.0611032563.53; ur.01065606006.57; ur.01336444473.17; ur.01076712661.28; ; ur.0700527604.16]|Journal of the American Medical Informatics Association|2004|11|6|448-457|10.1197/jamia.m1535|pub.1001877957|199;[Haider, Muhiuddin; Kreps, Gary L]|[ur.0700076177.03; ur.01336444473.17]|Journal of Health Communication|2004|9|sup1|3-11|10.1080/10810730490271430|pub.1022510211|147;[Kreps, Gary J]|[]|Health Communication|2003|15|2|161-169|10.1207/s15327027hc1502_4|pub.1031673043|54;[Gustafson, David H.; Hawkins, Robert; Boberg, Eric; Pingree, Susanne; Serlin, Ronald E.; Graziano, Frank; Chan, Chein Lung]|[ur.0726505407.18; ur.01170123373.77; ur.01206672504.61; ; ; ; ur.01330025116.09]|American Journal of Preventive Medicine|1999|16|1|1-9|10.1016/s0749-3797(98)00108-1|pub.1033671510|391"
pub.1074719885,,"Library outreach: addressing Utah's ""Digital Divide"".","A ""Digital Divide"" in information and technological literacy exists in Utah between small hospitals and clinics in rural areas and the larger health care institutions in the major urban area of the state. The goals of the outreach program of the Spencer S. Eccles Health Sciences Library at the University of Utah address solutions to this disparity in partnership with the National Network of Libraries of Medicine-- Midcontinental Region, the Utah Department of Health, and the Utah Area Health Education Centers. In a circuit-rider approach, an outreach librarian offers classes and demonstrations throughout the state that teach information-access skills to health professionals. Provision of traditional library services to unaffiliated health professionals is integrated into the library's daily workload as a component of the outreach program. The paper describes the history, methodology, administration, funding, impact, and results of the program.",Journal of the Medical Library Association,2000,88,4,367-73,"McCloskey, K M",University of Utah,United States,https://app.dimensions.ai/details/publication/pub.1074719885,8,
pub.1077368374,10.1109/iembs.2005.1616609,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to digital divide, commonly described as the gap that exists among individuals and communities with regards to the haves and have-nots of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income ncome families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005,2005,,1091-1094,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.",University of Washington; Nanyang Technological University,United States; Singapore,https://app.dimensions.ai/details/publication/pub.1077368374,13,"[Homer, Caroline S.E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Australian and New Zealand Journal of Obstetrics and Gynaecology|1999|39|1|54-57|10.1111/j.1479-828x.1999.tb03445.x|pub.1024862591|51;[Cimino, James J.; Patel, Vimla L.; Kushniruk, Andre W.]|[ur.0615436161.22; ur.01165640762.52; ur.01366654044.52]|Journal of the American Medical Informatics Association|2001|8|2|163-173|10.1136/jamia.2001.0080163|pub.1025042615|65;[ELBOURNE, D.; RICHARDSON, M.; CHALMERS, I.; WATERHOUSE, I.; HOLT, E.]|[; ; ; ur.0770055365.08; ur.01367366065.83]|BJOG An International Journal of Obstetrics & Gynaecology|1987|94|7|612-619|10.1111/j.1471-0528.1987.tb03165.x|pub.1025149026|107;[Ross, Stephen E.; Lin, Chen-Tan]|[ur.01250433246.25; ur.01347730701.27]|Journal of the American Medical Informatics Association|2003|10|2|129-138|10.1197/jamia.m1147|pub.1027332013|230;[Kushniruk, Andre W; Patel, Camille; Patel, Vimla L; Cimino, James J]|[ur.01366654044.52; ; ur.01165640762.52; ur.0615436161.22]|International Journal of Medical Informatics|2001|61|1|45-70|10.1016/s1386-5056(00)00133-7|pub.1031573236|45;[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183;[Wang, Maisie; Lau, Christopher; Matsen, Frederick A.; Kim, Yongmin]|[ur.01003361504.14; ur.01322362054.87; ur.07572277255.24; ur.01172010215.18]|IEEE Journal of Biomedical and Health Informatics|2004|8|3|287-297|10.1109/titb.2004.834397|pub.1061656324|56;[Leavitt, M]|[]|Medscape journal of medicine|2001|3|2|2||pub.1074879164|2253;[Kim, Eung-Hun; Wang, Maisie; Lau, Christopher; Kim, Yongmin]|[ur.01311305522.97; ur.01003361504.14; ur.01322362054.87; ur.01172010215.18]|Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)|2004|2||3159-3162|10.1109/iembs.2004.1403891|pub.1077363824|21"
pub.1077368247,10.1109/iembs.2005.1616482,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to ""digital divide"", commonly described as the gap that exists among individuals and communities with regards to the 'haves' and 'have-nots' of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005,2006,,593-596,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.",University of Washington; Nanyang Technological University,United States; Singapore,https://app.dimensions.ai/details/publication/pub.1077368247,15,"[Homer, Caroline S.E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Australian and New Zealand Journal of Obstetrics and Gynaecology|1999|39|1|54-57|10.1111/j.1479-828x.1999.tb03445.x|pub.1024862591|51;[Cimino, James J.; Patel, Vimla L.; Kushniruk, Andre W.]|[ur.0615436161.22; ur.01165640762.52; ur.01366654044.52]|Journal of the American Medical Informatics Association|2001|8|2|163-173|10.1136/jamia.2001.0080163|pub.1025042615|65;[ELBOURNE, D.; RICHARDSON, M.; CHALMERS, I.; WATERHOUSE, I.; HOLT, E.]|[; ; ; ur.0770055365.08; ur.01367366065.83]|BJOG An International Journal of Obstetrics & Gynaecology|1987|94|7|612-619|10.1111/j.1471-0528.1987.tb03165.x|pub.1025149026|107;[Ross, Stephen E.; Lin, Chen-Tan]|[ur.01250433246.25; ur.01347730701.27]|Journal of the American Medical Informatics Association|2003|10|2|129-138|10.1197/jamia.m1147|pub.1027332013|230;[Kushniruk, Andre W; Patel, Camille; Patel, Vimla L; Cimino, James J]|[ur.01366654044.52; ; ur.01165640762.52; ur.0615436161.22]|International Journal of Medical Informatics|2001|61|1|45-70|10.1016/s1386-5056(00)00133-7|pub.1031573236|45;[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183;[Homer, Caroline S. E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Obstetrical & Gynecological Survey|1999|54|10|630-631|10.1097/00006254-199910000-00011|pub.1060260098|2;[Wang, Maisie; Lau, Christopher; Matsen, Frederick A.; Kim, Yongmin]|[ur.01003361504.14; ur.01322362054.87; ur.07572277255.24; ur.01172010215.18]|IEEE Journal of Biomedical and Health Informatics|2004|8|3|287-297|10.1109/titb.2004.834397|pub.1061656324|56;[Leavitt, M]|[]|Medscape journal of medicine|2001|3|2|2||pub.1074879164|2253;[Kim, Eung-Hun; Wang, Maisie; Lau, Christopher; Kim, Yongmin]|[ur.01311305522.97; ur.01003361504.14; ur.01322362054.87; ur.01172010215.18]|Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)|2004|2||3159-3162|10.1109/iembs.2004.1403891|pub.1077363824|21"
pub.1078044770,,[Promoting nursing competitiveness: introduction to the digital divide].,"Increasingly sophisticated information technology (IT) has widened the gap (the so-called ""digital divide"") between those with effective access to IT resources and those without. Problems related to the digital divide exist in every country. In addition to level of familiarity with technology, the divide can also be influenced by factors of race, gender, age, education, economic status and area of residence. The digital divide may be ameliorated through technology innovations in terms of access to information, information application and information literacy. As IT is an increasingly significant component of modern healthcare, it may be expected that the ""width"" of the potential gap widens as IT applications increase in sophistication. Nursing professionals must keep abreast of advancing technologies in order to narrow the digital divide. To cope with this challenge, nursing professionals should enhance their understanding of new technologies beyond what is taught in formal education curricula. This knowledge enhancement may be attained through self learning or on-the-job training in nursing informatics. Content could cover hospital information system (IS) usage, security, applications and web access. This will improve the ability of nursing staff to face the current IT challenge.",Journal of Nursing,2010,57,1,95-9,"Lin, Chun-Hsu; Lee, Ting-Ting",,,https://app.dimensions.ai/details/publication/pub.1078044770,2,
pub.1077256844,,Developing computer skills and competencies in seniors.,"We developed a training protocol for elderly participants of a home telemedicine study, grounded in prior usability research. The training aimed to reduce barriers in developing system mastery. Our findings are indicative of both the promises and challenges involved in bridging the digital divide. Sixteen participants of a diabetes study were trained to use the computer applications.",AMIA Annual Symposium Proceedings,2005,2005,,1078,"Pevzner, Jenia; Kaufmann, David R; Hilliman, Charlyn; Shea, Steven; Weinstock, Ruth S; Starren, Justin",Columbia University,United States,https://app.dimensions.ai/details/publication/pub.1077256844,2,"[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183"
pub.1038200191,10.1016/j.socscimed.2009.08.039,Parental education and children's online health information seeking: Beyond the digital divide debate,"Research has shown that increasing numbers of teenagers are going online to find health information, but it is unclear whether there are disparities in the prevalence of online health seeking among young Internet users associated with social and economic conditions. Existing literature on Internet uses by adults indicates that low income, less educated, and minority individuals are less likely to be online health seekers. Based on the analysis of data from the Pew Internet and American Life Project for the US, this study finds that teens of low education parents are either as likely as or even more likely than teens of high education parents to seek online health information. Multiple regression analysis shows that the higher engagement in health seeking by teens of low education parents is related to a lower prevalence of parental Internet use, suggesting that some of these teens may be seeking online health information on behalf of their low education parents. Implications of these findings are discussed in relation to the issues of the digital divide and digital empowerment.",Social Science & Medicine,2009,69,10,1501-1505,"Zhao, Shanyang",Temple University,United States,https://app.dimensions.ai/details/publication/pub.1038200191,71,"[Kvasny, Lynette; Keil, Mark]|[ur.012613150205.25; ur.013136272710.25]|Information Systems Journal|2006|16|1|23-53|10.1111/j.1365-2575.2006.00207.x|pub.1000107294|158;[Ybarra, Michele L.; Emenyonu, Nneka; Nansera, Denis; Kiwanuka, Julius; Bangsberg, David R.]|[ur.01363170756.31; ur.01036336767.30; ur.01010446447.96; ur.01200550717.67; ur.01254352000.78]|Health Education Research|2007|23|2|249-258|10.1093/her/cym026|pub.1009091529|39;[Borzekowski, Dina L. G.; Fobil, Julius N.; Asante, Kofi O.]|[ur.01035376765.16; ur.01352423620.26; ]|Developmental Psychology|2006|42|3|450-458|10.1037/0012-1649.42.3.450|pub.1009203514|74;[Harvey, Kevin James; Brown, Brian; Crawford, Paul; Macfarlane, Aidan; McPherson, Ann]|[ur.014570603401.64; ur.0661153416.03; ur.0711367260.15; ur.0716325073.78; ur.0764440273.00]|Social Science & Medicine|2007|65|4|771-781|10.1016/j.socscimed.2007.04.005|pub.1009337320|83;[Cotten, Shelia R; Gupta, Sipi S]|[ur.011516045427.40; ]|Social Science & Medicine|2004|59|9|1795-1806|10.1016/j.socscimed.2004.02.020|pub.1010612657|601;[Ybarra, Michele; Suman, Michael]|[ur.01363170756.31; ur.0601671607.88]|Health Education Research|2006|23|3|512-521|10.1093/her/cyl062|pub.1017196410|201;[Borzekowski, D L; Rickert, V I]|[ur.01035376765.16; ur.0775007217.40]|JAMA Pediatrics|2001|155|7|813-817|10.1001/archpedi.155.7.813|pub.1019406948|267;[Amichai-Hamburger, Yair; McKenna, Katelyn Y.A.; Tal, Samuel-Azran]|[ur.013225150321.95; ur.011401601575.60; ]|Computers in Human Behavior|2008|24|5|1776-1789|10.1016/j.chb.2008.02.002|pub.1023432842|133;[Borzekowski, Dina L.G.; Rickert, Vaughn I.]|[ur.01035376765.16; ur.0775007217.40]|Journal of Applied Developmental Psychology|2001|22|1|49-59|10.1016/s0193-3973(00)00065-4|pub.1026016413|88;[Rice, Ronald E.]|[ur.014077537323.51]|International Journal of Medical Informatics|2005|75|1|8-28|10.1016/j.ijmedinf.2005.07.032|pub.1027965556|545;[Raber, Douglas]|[ur.015061130137.02]|Library & Information Science Research|2002|24|2|199-201|10.1016/s0740-8188(02)00114-7|pub.1029808798|19;[Gray, Nicola J.; Klein, Jonathan D.; Noyce, Peter R.; Sesselberg, Tracy S.; Cantrill, Judith A.]|[ur.0655255363.50; ur.01162471400.83; ur.0726720164.09; ur.0625605331.54; ur.01243400363.61]|Social Science & Medicine|2005|60|7|1467-1478|10.1016/j.socscimed.2004.08.010|pub.1037352818|591;[Kim, Jinyoung; Durden, Emily]|[ur.01315543531.91; ]|Social Science & Medicine|2007|65|12|2489-2502|10.1016/j.socscimed.2007.07.022|pub.1037567658|146;[Brodie, Mollyann; Flournoy, Rebecca E.; Altman, Drew E.; Blendon, Robert J.; Benson, John M.; Rosenbaum, Marcus D.]|[ur.01333031510.17; ur.01173504615.38; ur.01010154330.17; ur.01073262400.75; ur.0657261745.54; ur.010247461226.34]|Health Affairs|2000|19|6|255-265|10.1377/hlthaff.19.6.255|pub.1040537648|413;[Livingstone, Sonia; Helsper, Ellen]|[ur.014400337707.47; ur.014711443745.96]|New Media & Society|2007|9|4|671-696|10.1177/1461444807080335|pub.1041353721|639;[Hsu, John; Huang, Jie; Kinsman, James; Fireman, Bruce; Miller, Robert; Selby, Joseph; Ortiz, Eduardo]|[ur.01125430411.20; ur.01122774121.98; ur.01353317662.21; ur.01233525220.55; ur.0676026762.22; ur.015133103322.58; ur.01012255362.90]|Journal of the American Medical Informatics Association|2004|12|2|164-171|10.1197/jamia.m1672|pub.1048008209|168;[Zhao, Shanyang]|[ur.011443351275.32]|Cyberpsychology Behavior and Social Networking|2009|12|1|55-58|10.1089/cpb.2008.0090|pub.1059247196|20;[Looker, E. Dianne; Thiessen, Victor]|[ur.0737441542.92; ur.01175426352.08]|Social Science Computer Review|2003|21|4|475-490|10.1177/0894439303256536|pub.1063872518|30;[Hansen, Derek L; Derry, Holly A; Resnick, Paul J; Richardson, Caroline R]|[ur.016510572241.25; ur.0765127473.75; ur.01132242673.62; ur.01015133230.98]|Journal of Medical Internet Research|2003|5|4|e25|10.2196/jmir.5.4.e25|pub.1069286384|187;[Attewell, Paul]|[]|Sociology of Education|2001|74|3|252|10.2307/2673277|pub.1070053429|290"
pub.1077016767,,Interactive telemedicine as a tool to avoid a digital divide in the world.,"An efficient way of closing the gap in medical care between the EU and its Mediterranean partners is the use of satellite-based networks for telemedical applications. Using standard hardware components and specially designed communication software (WinVicos) various telemedical applications (teleconsultation, telementoring, teleteaching, etc.) have been realized. Two telemedical networks which have been designed and developed recently, MEDASHIP (Medical Assistance for Ships) and EMISPHER (Euro-Mediterranean Internet-Satellite Platform for Health, medical Education and Research), are presented.",Studies in health technology and informatics,2004,103,,150-6,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M",Charité - University Medicine Berlin,Germany,https://app.dimensions.ai/details/publication/pub.1077016767,7,
pub.1059247196,10.1089/cpb.2008.0090,Teen Adoption of MySpace and IM: Inner-City versus Suburban Differences,"Based on an anonymous survey of 432 students from eight public schools, this study shows that inner-city teens are more likely to use MySpace and suburban teens are more likely to use IM; moreover, suburban teens are more likely than inner-city teens to be the early adopters of both MySpace and IM. This urban-suburban differential reveals another dimension of the so-called second digital divide.",Cyberpsychology Behavior and Social Networking,2009,12,1,55-58,"Zhao, Shanyang",Temple University,United States,https://app.dimensions.ai/details/publication/pub.1059247196,20,"[LEWIS, CYNTHIA; FABOS, BETTINA]|[ur.011152431255.58; ur.013342752655.53]|Reading Research Quarterly|2005|40|4|470-501|10.1598/rrq.40.4.5|pub.1032465122|265;[Hargittai, Eszter]|[ur.014036273417.00]|First Monday|2002|7|4||10.5210/fm.v7i4.942|pub.1072710742|980"
pub.1077287908,,"Web-based consumer health information: public access, digital division, and remainders.","Public access Internet portals and decreasing costs of personal computers have created a growing consensus that unequal access to information, or a ""digital divide,"" has largely disappeared for US consumers. A series of technology initiatives in the late 1990s were believed to have largely eliminated the divide. For healthcare patients, access to information is an essential part of the consumer-centric framework outlined in the recently proposed national health information initiative. Data from a recent study of health information-seeking behaviors on the Internet suggest that a ""digitally underserved group"" persists, effectively limiting the planned national health information infrastructure to wealthier Americans.",Medscape journal of medicine,2006,8,2,4,"Lorence, Daniel; Park, Heeyoung",Pennsylvania State University,United States,https://app.dimensions.ai/details/publication/pub.1077287908,15,"[Morris, Theodore A.; Guard, J. Roger; Marine, Stephen A.; Schick, Leslie; Haag, Doris; Tsipis, Gaylene; Kaya, Birsen; Shoemaker, Steve]|[ur.01243501265.57; ur.0723134624.17; ur.01153611624.45; ur.01016665365.16; ur.01133113765.42; ur.01247342365.45; ur.01363570765.01; ur.0754413265.56]|Journal of the American Medical Informatics Association|1997|4|1|6-13|10.1136/jamia.1997.0040006|pub.1020565088|39;[Baker, Laurence; Wagner, Todd H; Singer, Sara; Bundorf, M Kate]|[ur.01227533035.85; ur.01025102062.05; ur.0725171423.09; ur.01104313010.84]|JAMA|2003|289|18|2400-2406|10.1001/jama.289.18.2400|pub.1031888226|925;[Bader, S A; Braude, R M]|[ur.0741545314.19; ur.01100564112.82]|Academic Medicine|1998|73|4|408-11|10.1097/00001888-199804000-00014|pub.1035127434|98;[Brodie, Mollyann; Flournoy, Rebecca E.; Altman, Drew E.; Blendon, Robert J.; Benson, John M.; Rosenbaum, Marcus D.]|[ur.01333031510.17; ur.01173504615.38; ur.01010154330.17; ur.01073262400.75; ur.0657261745.54; ur.010247461226.34]|Health Affairs|2000|19|6|255-265|10.1377/hlthaff.19.6.255|pub.1040537648|413;[Ayonrinde, O]|[ur.07606522357.06]|Postgraduate Medical Journal|1998|74|874|449|10.1136/pgmj.74.874.449|pub.1046150787|23;[Robinson, Thomas N.; Patrick, Kevin; Eng, Thomas R.; Gustafson, David; Communication and Health, for the Science Panel on Interactive]|[ur.01161511221.01; ur.015365145273.81; ur.01262256772.76; ur.07624765656.62; ]|JAMA|1998|280|14|1264-1269|10.1001/jama.280.14.1264|pub.1051830999|265;[Silberg, W M; Lundberg, G D; Musacchio, R A]|[ur.011651276252.17; ur.0607155430.64; ur.012617152504.80]|JAMA|1997|277|15|1244-5|10.1001/jama.277.15.1244|pub.1054160840|557"
