"About the data: Exported on Oct 14, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010 or 2011; Fields of Research (ANZSRC 2020) is 38 Economics or 35 Commerce, Management, Tourism and Services or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
3481,pub.1077130253,,16239960,PMC1255755,Disseminating relevant health information to underserved audiences: implications of the Digital Divide Pilot Projects.,"OBJECTIVE: This paper examines the influence of the digital divide on disparities in health outcomes for vulnerable populations, identifying implications for medical and public libraries.
METHOD: The paper describes the results of the Digital Divide Pilot Projects demonstration research programs funded by the National Cancer Institute to test new strategies for disseminating relevant health information to underserved and at-risk audiences.
RESULTS: The Digital Divide Pilot Projects field-tested innovative systemic strategies for helping underserved populations access and utilize relevant health information to make informed health-related decisions about seeking appropriate health care and support, resisting avoidable and significant health risks, and promoting their own health.
IMPLICATIONS: The paper builds on the Digital Divide Pilot Projects by identifying implications for developing health communication strategies that libraries can adopt to provide digital health information to vulnerable populations.",,Journal of the Medical Library Association,,"Community-Institutional Relations; Health Education; Health Promotion; Humans; Information Dissemination; Library Materials; Library Services; Medically Underserved Area; Organizational Objectives; Outcome and Process Assessment, Health Care; Pilot Projects; Program Evaluation; United States; Vulnerable Populations",2005-10,2005,,2005-10,93,4 Suppl,s68-73,Closed,Article,"Kreps, Gary L","Kreps, Gary L (Department of Communication, George Mason University, Thompson Hall 206 MSN 3D6, Fairfax, VA 22030, USA. gkreps@gmu.edu)",,"Kreps, Gary L (George Mason University)",58,6,1.04,38.04,,https://app.dimensions.ai/details/publication/pub.1077130253,46 Information and Computing Sciences; 4610 Library and Information Studies,3 Good Health and Well Being
2658,pub.1074719885,,11055305,PMC35259,"Library outreach: addressing Utah's ""Digital Divide"".","A ""Digital Divide"" in information and technological literacy exists in Utah between small hospitals and clinics in rural areas and the larger health care institutions in the major urban area of the state. The goals of the outreach program of the Spencer S. Eccles Health Sciences Library at the University of Utah address solutions to this disparity in partnership with the National Network of Libraries of Medicine-- Midcontinental Region, the Utah Department of Health, and the Utah Area Health Education Centers. In a circuit-rider approach, an outreach librarian offers classes and demonstrations throughout the state that teach information-access skills to health professionals. Provision of traditional library services to unaffiliated health professionals is integrated into the library's daily workload as a component of the outreach program. The paper describes the history, methodology, administration, funding, impact, and results of the program.",,Journal of the Medical Library Association,,"Area Health Education Centers; Computer Literacy; Grateful Med; Internet; Libraries, Medical; Library Services; MEDLINE; National Library of Medicine (U.S.); Program Development; Rural Health Services; Societies, Medical; Telemedicine; United States; Utah; Workforce",2000-10,2000,,2000-10,88,4,367-73,Closed,Article,"McCloskey, K M","McCloskey, K M (Spencer S. Eccles Health Sciences Library, University of Utah, Salt Lake City 84112-5890, USA.)",,"McCloskey, K M (University of Utah)",8,0,0.18,6.29,,https://app.dimensions.ai/details/publication/pub.1074719885,46 Information and Computing Sciences; 4610 Library and Information Studies,
2575,pub.1077368374,10.1109/iembs.2005.1616609,17282378,,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to digital divide, commonly described as the gap that exists among individuals and communities with regards to the haves and have-nots of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income ncome families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005 IEEE Engineering in Medicine and Biology 27th Annual Conference,,2005,2005,,2005,2005,,1091-1094,Closed,Proceeding,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.","Kim, E. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Mayani, A. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Modi, S. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Soh, C. B. (Biomedical Engineering Research Centre, Nanyang Technological University, Singapore); Kim, Y. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA)",,"Kim, E. (University of Washington); Mayani, A. (University of Washington); Modi, S. (University of Washington); Soh, C. B. (Nanyang Technological University); Kim, Y. (University of Washington)",13,0,0.21,2.7,,https://app.dimensions.ai/details/publication/pub.1077368374,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,3 Good Health and Well Being
2574,pub.1077368247,10.1109/iembs.2005.1616482,17282251,,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to ""digital divide"", commonly described as the gap that exists among individuals and communities with regards to the 'haves' and 'have-nots' of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005 IEEE Engineering in Medicine and Biology 27th Annual Conference,,2005,2005,,2005,2006,,593-596,Closed,Proceeding,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.","Kim, E. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Mayani, A. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Modi, S. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Soh, C. B. (Biomedical Engineering Research Centre Nanyang Technological University, Singapore); Kim, Y. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA)",,"Kim, E. (University of Washington); Mayani, A. (University of Washington); Modi, S. (University of Washington); Soh, C. B. (Nanyang Technological University); Kim, Y. (University of Washington)",15,0,0.25,3.12,,https://app.dimensions.ai/details/publication/pub.1077368247,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,3 Good Health and Well Being
2568,pub.1078044770,,20127629,,[Promoting nursing competitiveness: introduction to the digital divide].,"Increasingly sophisticated information technology (IT) has widened the gap (the so-called ""digital divide"") between those with effective access to IT resources and those without. Problems related to the digital divide exist in every country. In addition to level of familiarity with technology, the divide can also be influenced by factors of race, gender, age, education, economic status and area of residence. The digital divide may be ameliorated through technology innovations in terms of access to information, information application and information literacy. As IT is an increasingly significant component of modern healthcare, it may be expected that the ""width"" of the potential gap widens as IT applications increase in sophistication. Nursing professionals must keep abreast of advancing technologies in order to narrow the digital divide. To cope with this challenge, nursing professionals should enhance their understanding of new technologies beyond what is taught in formal education curricula. This knowledge enhancement may be attained through self learning or on-the-job training in nursing informatics. Content could cover hospital information system (IS) usage, security, applications and web access. This will improve the ability of nursing staff to face the current IT challenge.",,Journal of Nursing,,Humans; Nursing Informatics,2010-02,2010,,2010-02,57,1,95-9,Closed,Article,"Lin, Chun-Hsu; Lee, Ting-Ting","Lin, Chun-Hsu (Department of Nursing, National Taipei College of Nursing, ROC.); Lee, Ting-Ting ()",,"Lin, Chun-Hsu (); Lee, Ting-Ting ()",2,0,0.1,1.29,,https://app.dimensions.ai/details/publication/pub.1078044770,46 Information and Computing Sciences; 4610 Library and Information Studies,4 Quality Education
2440,pub.1077256844,,16779365,PMC1560455,Developing computer skills and competencies in seniors.,"We developed a training protocol for elderly participants of a home telemedicine study, grounded in prior usability research. The training aimed to reduce barriers in developing system mastery. Our findings are indicative of both the promises and challenges involved in bridging the digital divide. Sixteen participants of a diabetes study were trained to use the computer applications.",,AMIA Annual Symposium Proceedings,,"Aged; Aged, 80 and over; Computer Literacy; Computer User Training; Educational Status; Female; Humans; Middle Aged; Telemedicine",2005,2005,,2005,2005,,1078,Closed,Article,"Pevzner, Jenia; Kaufmann, David R; Hilliman, Charlyn; Shea, Steven; Weinstock, Ruth S; Starren, Justin","Pevzner, Jenia (College of Physicians and Surgeons, Columbia University, New York, NY, USA.); Kaufmann, David R (); Hilliman, Charlyn (); Shea, Steven (); Weinstock, Ruth S (); Starren, Justin ()",,"Pevzner, Jenia (Columbia University); Kaufmann, David R (); Hilliman, Charlyn (); Shea, Steven (); Weinstock, Ruth S (); Starren, Justin ()",2,0,0.03,0.41,,https://app.dimensions.ai/details/publication/pub.1077256844,46 Information and Computing Sciences; 4608 Human-Centred Computing,3 Good Health and Well Being
2430,pub.1038200191,10.1016/j.socscimed.2009.08.039,19765874,,Parental education and children's online health information seeking: Beyond the digital divide debate,"Research has shown that increasing numbers of teenagers are going online to find health information, but it is unclear whether there are disparities in the prevalence of online health seeking among young Internet users associated with social and economic conditions. Existing literature on Internet uses by adults indicates that low income, less educated, and minority individuals are less likely to be online health seekers. Based on the analysis of data from the Pew Internet and American Life Project for the US, this study finds that teens of low education parents are either as likely as or even more likely than teens of high education parents to seek online health information. Multiple regression analysis shows that the higher engagement in health seeking by teens of low education parents is related to a lower prevalence of parental Internet use, suggesting that some of these teens may be seeking online health information on behalf of their low education parents. Implications of these findings are discussed in relation to the issues of the digital divide and digital empowerment.",,Social Science & Medicine,,Adolescent; Adolescent Behavior; Adult; Consumer Health Information; Educational Status; Health Education; Humans; Information Seeking Behavior; Internet; Interviews as Topic; Logistic Models; Parent-Child Relations; Parents; Patient Acceptance of Health Care; United States,2009-09-16,2009,2009-09-16,2009-11,69,10,1501-1505,Closed,Article,"Zhao, Shanyang","Zhao, Shanyang (Department of Sociology, Temple University, 1115 W. Berks St., Philadelphia, PA 19122, United States)","Zhao, Shanyang (Temple University)","Zhao, Shanyang (Temple University)",71,8,1.4,,,https://app.dimensions.ai/details/publication/pub.1038200191,38 Economics; 42 Health Sciences; 44 Human Society,4 Quality Education
2278,pub.1077016767,,15747917,,Interactive telemedicine as a tool to avoid a digital divide in the world.,"An efficient way of closing the gap in medical care between the EU and its Mediterranean partners is the use of satellite-based networks for telemedical applications. Using standard hardware components and specially designed communication software (WinVicos) various telemedical applications (teleconsultation, telementoring, teleteaching, etc.) have been realized. Two telemedical networks which have been designed and developed recently, MEDASHIP (Medical Assistance for Ships) and EMISPHER (Euro-Mediterranean Internet-Satellite Platform for Health, medical Education and Research), are presented.",,Studies in health technology and informatics,,Computer Communication Networks; Humans; International Cooperation; Medically Underserved Area; Remote Consultation; Satellite Communications; Ships; Telemedicine; User-Computer Interface,2004,2004,,2004,103,,150-6,Closed,Article,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M","Graschew, Georgi (Surgical Research Unit OP 2000, Max-Delbrueck-Center for Molecular Medicine and Robert-Roessle-Klinik, Charité-University Medicine Berlin, Lindenberger Weg 80, 13125 Berlin, Germany. graschew@mdc-berlin.de); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M ()",,"Graschew, Georgi (Charité - University Medicine Berlin); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M ()",7,0,0.15,1.41,,https://app.dimensions.ai/details/publication/pub.1077016767,46 Information and Computing Sciences; 4605 Data Management and Data Science,
2217,pub.1059247196,10.1089/cpb.2008.0090,19006460,,Teen Adoption of MySpace and IM: Inner-City versus Suburban Differences,"Based on an anonymous survey of 432 students from eight public schools, this study shows that inner-city teens are more likely to use MySpace and suburban teens are more likely to use IM; moreover, suburban teens are more likely than inner-city teens to be the early adopters of both MySpace and IM. This urban-suburban differential reveals another dimension of the so-called second digital divide.",,Cyberpsychology Behavior and Social Networking,,"Adaptation, Psychological; Adolescent; Adolescent Behavior; Age Factors; Attitude to Computers; Child; Communication; Humans; Internet; Interpersonal Relations; Residence Characteristics; Sex Factors; Social Behavior; Socioeconomic Factors; Suburban Population; Urban Population",2009-02,2009,,2009-02,12,1,55-58,Closed,Article,"Zhao, Shanyang","Zhao, Shanyang (Department of Sociology, Temple University, Philadelphia, Pennsylvania 19122, USA. shanyang.zhao@temple.edu)",,"Zhao, Shanyang (Temple University)",20,0,0.22,2.75,,https://app.dimensions.ai/details/publication/pub.1059247196,46 Information and Computing Sciences; 4609 Information Systems; 52 Psychology; 5201 Applied and Developmental Psychology; 5205 Social and Personality Psychology,
2164,pub.1077287908,,16926743,PMC1785207,"Web-based consumer health information: public access, digital division, and remainders.","Public access Internet portals and decreasing costs of personal computers have created a growing consensus that unequal access to information, or a ""digital divide,"" has largely disappeared for US consumers. A series of technology initiatives in the late 1990s were believed to have largely eliminated the divide. For healthcare patients, access to information is an essential part of the consumer-centric framework outlined in the recently proposed national health information initiative. Data from a recent study of health information-seeking behaviors on the Internet suggest that a ""digitally underserved group"" persists, effectively limiting the planned national health information infrastructure to wealthier Americans.",,Medscape journal of medicine,,Access to Information; Health Education; Information Dissemination; Internet,2006-04-04,2006,2006-04-04,,8,2,4,Closed,Article,"Lorence, Daniel; Park, Heeyoung","Lorence, Daniel (Center for Technology Assessment, Department of Health Policy and Administration and College of Information Sciences and Technology, The Pennsylvania State University, University Park, Pennsylvania, USA. dpl10@psu.edu); Park, Heeyoung ()",,"Lorence, Daniel (Pennsylvania State University); Park, Heeyoung ()",15,0,0.53,4.93,,https://app.dimensions.ai/details/publication/pub.1077287908,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4610 Library and Information Studies,3 Good Health and Well Being
2163,pub.1076948263,,15471268,,Assessing the value of the internet in health improvement.,"The internet is a powerful tool that provides easy access to information. Many people access it for health information and bring the material gathered to health appointments. However, the information may not always be correct or adequately monitored for quality. This could lead to some of it being harmful. This article examines whether or not the internet will enable us to lead healthier lives. The need for a quality label, how professionals must become adept at using the internet, the possibility of a digital divide exacerbating health inequalities and the dangers of misusing the internet's interactive elements are examined.",,Nursing Times,,Computer Literacy; Health Education; Health Personnel; Health Promotion; Health Services Needs and Demand; Humans; Internet,2004,2004,,2004,100,35,28-30,Closed,Article,"Blair, Jim","Blair, Jim (Kingston University and St. George's Hospital Medical School, London.)",,"Blair, Jim (St George's, University of London)",7,0,0.16,5.0,,https://app.dimensions.ai/details/publication/pub.1076948263,46 Information and Computing Sciences; 4610 Library and Information Studies,10 Reduced Inequalities
2059,pub.1077265495,,16823147,,Virtual hospital and digital medicine--why is the GRID needed?,"The promise of telemedicine to enable equal access to high-level medical care can only be realised by the development of virtual hospitals, digital medicine and a bridging of the digital divide between the various regions of the world. For this, the concept of the Grid should be integrated with other communication networks and platforms. A promising approach is the implementation of service-oriented architectures for an invisible grid, hiding complexity for both application developers and end-users. Therefore integrated Grid Tools Suites for application programmers must be developed. Thus enhancing development and deployment of Grid applications can bring us closer to the simplicity of use that is desired for grid infrastructures not only within the medico-clinical field.",,Studies in health technology and informatics,,Databases as Topic; Europe; Hospitals; Medical Informatics; Software; Systems Integration,2006,2006,,2006,120,,295-304,Closed,Article,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M; Heinzlreiter, Paul; Kranzlmüller, Dieter; Volkert, Jens","Graschew, Georgi (Surgical Research Unit OP 2000, Robert-Roessle-Klinik and Max-Delbrueck-Centrum, Charité--University Medicine Berlin, Lindenberger Weg 80, D-13125, Berlin, Germany.); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",,"Graschew, Georgi (Charité - University Medicine Berlin); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M (); Heinzlreiter, Paul (); Kranzlmüller, Dieter (); Volkert, Jens ()",2,0,0.05,0.45,,https://app.dimensions.ai/details/publication/pub.1077265495,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,3 Good Health and Well Being
2010,pub.1077354372,,17238764,PMC1839546,Perceptions about use of a patient Internet portal among Medicaid beneficiaries.,"Patient Internet portals that allow patients to access their personal health information are an emerging form of enabling technology. The purported benefits from increasing use of information technology in healthcare, however, may not be universal because of a widening digital divide along racial and socioeconomic lines. In this pilot study, we surveyed 31 Medicaid beneficiaries to ascertain their interest in and projected use of a healthcare patient Internet portal. We found that most Medicaid beneficiaries were very interested in accessing personal health information about themselves or their dependents online. Moreover, ninety percent of respondents reported that they have access to the Internet, and sixty-eight percent of those with Internet access use the Internet once a week or more.",,AMIA Annual Symposium Proceedings,,Data Collection; Humans; Internet; Interviews as Topic; Medicaid; North Carolina; Pilot Projects,2006,2006,,2006,2006,,1145,Closed,Article,"Willis, Janese M; Macri, Jennifer M; Simo, Jessica; Anstrom, Kevin J; Lobach, David F","Willis, Janese M (Duke University Medical Center, DUMC, Durham, NC 27710, USA.); Macri, Jennifer M (); Simo, Jessica (); Anstrom, Kevin J (); Lobach, David F ()",,"Willis, Janese M (Duke Medical Center); Macri, Jennifer M (); Simo, Jessica (); Anstrom, Kevin J (); Lobach, David F ()",5,0,0.19,1.07,,https://app.dimensions.ai/details/publication/pub.1077354372,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,3 Good Health and Well Being
2008,pub.1059246941,10.1089/cpb.2006.9977,17305464,,Study of Education Disparities and Health Information Seeking Behavior,"This exploratory technology assessment examines how educational characteristics of health information seekers are associated with access to computers, the Internet, and online health information. Specifically, we examine (1) if there exists significant variation across identified health technology user groups regarding access to online health information, and (2) if differences between education levels have narrowed, remained constant, or widened over recent years, following national educational initiatives to narrow the technology gap for low-education user groups. Using a stratified sample from national tracking survey data, we find that recent policy initiatives under national technology access and other programs have demonstrated little effect in narrowing the digital divide for low-education users of web-based technologies.",,Cyberpsychology Behavior and Social Networking,,Educational Status; Humans; Information Dissemination; Internet; Patient Acceptance of Health Care; Surveys and Questionnaires,2007-02,2007,,2007-02,10,1,149-151,Closed,Article,"Lorence, Daniel; Park, Heeyoung","Lorence, Daniel (Center for Technology Assessment, and Department of Health Policy & Administration, Pennsylvania State University, University Park, Pennsylvania.); Park, Heeyoung (Department of Statistics, Pennsylvania State University, University Park, Pennsylvania.)",,"Lorence, Daniel (Pennsylvania State University); Park, Heeyoung (Pennsylvania State University)",38,8,1.15,27.45,,https://app.dimensions.ai/details/publication/pub.1059246941,46 Information and Computing Sciences; 4610 Library and Information Studies,4 Quality Education
