AU,AF,CR,AB,AR,BA,BE,BF,BN,BP,C1,C3,CA,CL,CT,CY,D2,DA,DE,DI,DT,EA,EF,EI,EM,EP,ER,FU,FX,GA,GP,HO,ID,IS,J9,JI,LA,NR,OA,OI,PA,PD,PG,PI,PM,PN,PT,PU,PY,RI,RP,SC,SE,SI,SN,SO,SP,SU,TC,TI,U1,U2,UT,VL,WC,WE,Z9,DB,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,AU_CO
BROVOLD R,"BROVOLD, R",NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,2022-09-18,"RADIOLOGY AND RADIOLOGISTS, DESIGN OF RADIOLOGICAL FACILITIES; RADIOGRAPHY, DIGITAL; RADIOGRAPHY, TECHNOLOGY",10.1016/0720-048X(92)90239-6,ARTICLE,NA,NA,NA,NA,42,,NA,NA,KH917,NA,NA,NA,1,EUR J RADIOL,EUR. J. RADIOL.,ENGLISH,0,NA,NA,"CUSTOMER RELATIONS MANAGER, BAY 15, SHANNON INDUSTRIAL ESTATE CO, CLARE, IRELAND",DEC,3,CLARE,1490474,NA,J,ELSEVIER SCI IRELAND LTD,1992,NA,"BROVOLD, R (CORRESPONDING AUTHOR), ELLERBE BECKET INC,800 LA SALLE AVE,MINNEAPOLIS,MN 55402, USA.","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",NA,NA,0720-048X,EUROPEAN JOURNAL OF RADIOLOGY,NA,NA,0,IMAGING DEPARTMENT DESIGNS THAT BRIDGE THE FILM DIGITAL GAP,0,0,WOS:A1992KH91700010,16,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),0,ISI,R (CORRESPONDING AUTHOR),R (CORRESPONDING AUTHOR),NA,"BROVOLD R, 1992, EUR J RADIOL","BROVOLD R, 1992, EUR J RADIOL",USA
JONES WG,"JONES, WG",NA,NA,NA,NA,NA,NA,NA,47,"RIVERSIDE CTY REG MED CTR, DEPT DIAGNOST IMAGING, MORENO VALLEY, CA 92555 USA.; LOMA LINDA UNIV, SCH MED, DEPT RADIOL, LOMA LINDA, CA USA.;",NA,NA,"HOUSTON, TX","16TH SYMPOSIUM FOR COMPUTER APPLICATIONS IN RADIOLOGY ON PACS -PERFORMANCE IMPROVEMENT IN RADIOLOGY (SCAR 99), AT THE ANNUAL MEETING OF SCAR","MAY 06-09, 1999",NA,2022-09-18,NA,10.1007/BF03168753,ARTICLE; PROCEEDINGS PAPER,NA,NA,1618-727X,NA,49,,NA,NA,197GB,NA,NA,NA,2,J DIGIT IMAGING,J. DIGIT. IMAGING,ENGLISH,0,GREEN PUBLISHED,NA,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",MAY,3,NEW YORK,10342164,NA,J,SPRINGER,1999,NA,"JONES, WG (CORRESPONDING AUTHOR), RIVERSIDE CTY REG MED CTR, DEPT DIAGNOST IMAGING, 26520 CACTUS AVE, MORENO VALLEY, CA 92555 USA.","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",NA,NA,0897-1889,JOURNAL OF DIGITAL IMAGING,SOC COMP APPLICAT RADIOL,1,8,CROSSING THE DIGITAL DIVIDE - MOVING FROM FILM TO FILMLESS RADIOLOGY,0,5,WOS:000080356100013,12,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); CONFERENCE PROCEEDINGS CITATION INDEX - SCIENCE (CPCI-S),8,ISI,RIVERSIDE CTY REG MED CTR;LOMA LINDA UNIV,RIVERSIDE CTY REG MED CTR,NA,"JONES WG, 1999, J DIGIT IMAGING","JONES WG, 1999, J DIGIT IMAGING",USA;USA
BOWIE NA,"BOWIE, NA",NA,NA,NA,NA,NA,NA,92-64-18288-8,37,NA,NA,NA,"UNIV PENN, PHILADELPHIA, PA",ROUNDTABLE ON THE LIFELONG LEARNING AND NEW TECHNOLOGIES GAP - REACHING THE DISADVANTAGED,"DEC 08-10, 1999",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,50,,NA,NA,BR45H,OECD OECD,UNIV PENN,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,NA,ENGLISH,0,NA,NA,"2, RUE ANDRE PASCAL, CEDEX 16, 75775 PARIS, FRANCE",NA,14,PARIS,NA,NA,C,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,2000,NA,NA,EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,"US DEPT EDUC, OFF VOCAT & ADULT EDUC, UNESCO, IBM CORP, INT LITERACY INST",NA,0,THE DIGITAL DIVIDE: MAKING KNOWLEDGE AVAILABLE IN A GLOBAL CONTEXT,0,0,WOS:000166446300003,NA,EDUCATION & EDUCATIONAL RESEARCH,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),0,ISI,NA,NOTREPORTED,NA,"BOWIE NA, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS","BOWIE NA, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS",NA
VENEZKY RL,"VENEZKY, RL",NA,NA,NA,NA,NA,NA,92-64-18288-8,63,NA,NA,NA,"UNIV PENN, PHILADELPHIA, PA",ROUNDTABLE ON THE LIFELONG LEARNING AND NEW TECHNOLOGIES GAP - REACHING THE DISADVANTAGED,"DEC 08-10, 1999",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,76,,NA,NA,BR45H,OECD OECD,UNIV PENN,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,NA,ENGLISH,0,NA,NA,"2, RUE ANDRE PASCAL, CEDEX 16, 75775 PARIS, FRANCE",NA,14,PARIS,NA,NA,C,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,2000,NA,NA,EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,"US DEPT EDUC, OFF VOCAT & ADULT EDUC, UNESCO, IBM CORP, INT LITERACY INST",NA,4,THE DIGITAL DIVIDE WITHIN FORMAL SCHOOL EDUCATION: CAUSES AND CONSEQUENCES,0,5,WOS:000166446300005,NA,EDUCATION & EDUCATIONAL RESEARCH,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),4,ISI,NA,NOTREPORTED,NA,"VENEZKY RL, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS","VENEZKY RL, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS",NA
GINSBURG L;SABATINI J;WAGNER DA,"GINSBURG, L;SABATINI, J;WAGNER, DA","*LINCT COAL, LEARN INF NETW COMM",NA,NA,NA,NA,NA,92-64-18288-8,77,"UNIV PENN, NCAL, PHILADELPHIA, PA 19104 USA.;",NA,NA,"UNIV PENN, PHILADELPHIA, PA",ROUNDTABLE ON THE LIFELONG LEARNING AND NEW TECHNOLOGIES GAP - REACHING THE DISADVANTAGED,"DEC 08-10, 1999",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,89,,NA,NA,BR45H,OECD OECD,UNIV PENN,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,NA,ENGLISH,1,NA,NA,"2, RUE ANDRE PASCAL, CEDEX 16, 75775 PARIS, FRANCE",NA,13,PARIS,NA,NA,C,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,2000,NA,NA,EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,"US DEPT EDUC, OFF VOCAT & ADULT EDUC, UNESCO, IBM CORP, INT LITERACY INST",NA,4,BASIC SKILLS IN ADULT EDUCATION AND THE DIGITAL DIVIDE,1,2,WOS:000166446300006,NA,EDUCATION & EDUCATIONAL RESEARCH,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),4,ISI,UNIV PENN,UNIV PENN,NA,"GINSBURG L, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS","GINSBURG L, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS",USA
VAN GORP L,"VAN GORP, L",NA,NA,NA,NA,"HOFFMAN, P LEMKE, D",NA,1-58603-052-3,152,NA,NA,NA,"PALM SPRINGS, CA",TECHNOLOGY IN EDUCATION INTERNATIONAL CONFERENCE AND EXPOSITION (TECHED 2000),"MAR 06-09, 2000",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,160,,NA,NA,BP98A,NA,NA,NA,NA,FR ART INT,NA,ENGLISH,0,NA,NA,"NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS",NA,9,AMSTERDAM,NA,NA,C,I O S PRESS,2000,NA,NA,COMPUTER SCIENCE; EDUCATION & EDUCATIONAL RESEARCH,FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS,NA,0922-6389,TEACHING AND LEARNING IN A NETWORK WORLD: TECHED 2000 PROCEEDINGS,NA,NA,0,GIRLS AND THE DIGITAL DIVIDE,0,0,WOS:000086803900024,60,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS; EDUCATION & EDUCATIONAL RESEARCH",CONFERENCE PROCEEDINGS CITATION INDEX - SCIENCE (CPCI-S); CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),0,ISI,NA,NOTREPORTED,NA,"VAN GORP L, 2000, FR ART INT","VAN GORP L, 2000, FR ART INT",NA
HOFFMAN DL;NOVAK TP,"HOFFMAN, DL;NOVAK, TP","ABRAMSKY S., 1995, HDB LOGIC COMPUTER S, V3, P1;BABB SF, 1998, THESIS U CALIFORNIA;BEAUPRE B, 1997, DETROIT NEWS 0208;BLUMENSTYK G, 1997, CHRON HIGHER EDUC, V43, PA24;CLINTON WJ, 1997, COMMUNICATION 0402;CLINTON WJ, 1997, COMMUNICATION 0204;COLEY R.J., 1997, COMPUTERS CLASSROOMS;COOPER M., 1999, DIGITAL DIVIDE CONFR;*CYB, 1999, INT MAT SO DO ITS US;EDUCATIONAL TESTING SERVICE, 1997, COMP CLASSR STAT TEC;*EST, 1999, US NET US TOD;HARMON A, 1997, NY TIMES 1025;HOFFMAN DL, 1996, COMMUN ACM, V39, P36, DOI 10.1145/240483.240490;HOFFMAN DL, 1998, SCIENCE, V280, P390, DOI 10.1126/SCIENCE.280.5362.390;HOFFMAN DL, 1995, J COMPUTER MEDIATED, V1;HOFFMAN DL, 1997, ASP I FOR DIV MED QU;HOFFMAN DL, 1996, AFFIDAVIT ACLU V REN;HOFFMAN DL, 1999, EVOLUTION DIGITAL DI;HOLMES TE, 1997, US TODAY 0220;KATZ J, 1997, 24 ANN TEL POL RES C;KELLER J., 1996, PUBLIC ACCESS INTERN;LAWRENCE S, 1999, NATURE, V400, P107, DOI 10.1038/21987;LIEBLING AJ, 1960, NEW YORKER 0514, V36, P105;MARAGANORE N, 1998, DATA INSIGHTS FORRES, V1;MCCONNAUGHEY J. W., 1998, FALLING NET;MORRISETTE S, 1999, CONSUMERS DIGITAL DE;*NETW WIZ, 1999, INT DOM SURV;*NIELS MED RES, 1997, FALL 97 COMM NIELS M, V2;*NIELS MED RES, 1997, SPRING 97 COMM NIELS, V2;*NIELS MED RES, 1997, FALL 97 COMM NIELS M, V1;*NIELS MED RES, 1998, SPRING 98 COMM NIELS, V2;*NIELS MED RES, 1998, SPRING 98 COMM NIELS, V1;*NIELS MED RES, 1997, SPRING 97 COMM NET N, V1;NOVAK TP, 1999, MARKETING SCI;NTIA, 1999, FALL NET DEF DIG DIV;*PEW RES CTR, 1998, ONL NEWC MOR MIDDL B;ROBERTS RM, 1997, ATLANTA J CONST 0619;RUTKOWSKI A.M, 1998, INTERNET TRENDS;SAX LJ, 1998, AM FRESHMAN NATL NOR;SCHEMENT JR, 1997, ASP I FOR OCT;SCHWARTZ E, 1996, NETACTIVISM CITIZENS;SHEPPARD N, 1997, ETHNIC NEWSWATC 0430;SKRILOFF L, 1997, BRANDWEEK 0217;WALSH EO, 1999, FORRESTER BRIEF 0303;WILHELM A, 1998, CLOSING DIGITAL DIVI;1997, INTERACTIVE DAI 0218;1997, NEW MEDIA WEEK 0303",NA,NA,NA,"BRYNJOLFSSON, E KAHIN, B",NA,0-262-02474-8,245,"VANDERBILT UNIV, OWEN GRAD SCH MANAGEMENT, NASHVILLE, TN 37240 USA.;",NA,NA,"WASHINGTON, D.C.",CONFERENCE ON UNDERSTANDING THE DIGITAL ECONOMY,"MAY 25-26, 1999",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,260,,NA,NA,BR71C,NA,NA,INTERNET; WEB,NA,"UNDERSTANDING THE DIGITAL ECONOMY: DATA, TOOLS, AND RESEARCH",NA,ENGLISH,47,NA,NA,"FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA",NA,16,CAMBRIDGE,NA,NA,C,M I T PRESS,2000,NA,NA,BUSINESS & ECONOMICS,NA,NA,NA,"UNDERSTANDING THE DIGITAL ECONOMY: DATA, TOOLS, AND RESEARCH","US DEPT COMMERCE, NATL SCI FDN, NATL ECON COUNCIL, OFF SCI & TECHNOL POLICY, ELECTR COMMERCE WORKING GRP",NA,28,THE GROWING DIGITAL DIVIDE: IMPLICATIONS FOR AN OPEN RESEARCH AGENDA,0,1,WOS:000167245200011,NA,ECONOMICS,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),28,ISI,VANDERBILT UNIV,VANDERBILT UNIV,NA,"HOFFMAN DL, 2000, UNDERSTANDING THE DIGITAL ECONOMY: DATA, TOOLS, AND RESEARCH","HOFFMAN DL, 2000, UNDERSTANDING THE DIGITAL ECONOMY: DATA, TOOLS, AND RESEARCH",USA
ROSENTHAL D,"ROSENTHAL, D","HITLER ADOLF, 1927, MEIN KAMPF",NA,NA,NA,NA,NA,NA,31,"UNIV BASEL, CH-4003 BASEL, SWITZERLAND.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1080/03064220008536719,ARTICLE,NA,NA,NA,NA,33,,NA,NA,320PW,NA,NA,NA,3,INDEX CENSORSHIP,INDEX CENSORSH.,ENGLISH,1,NA,NA,"LANCASTER HOUSE, 33 ISLINGTON HIGH ST,, LONDON N1 9LH, ENGLAND",MAY-JUN,3,LONDON,NA,NA,J,WRITERS & SCHOLARS INT LTD,2000,NA,"ROSENTHAL, D (CORRESPONDING AUTHOR), UNIV BASEL, CH-4003 BASEL, SWITZERLAND.",ARTS & HUMANITIES - OTHER TOPICS,NA,NA,0306-4220,INDEX ON CENSORSHIP,NA,NA,0,DIGITAL DIVIDE - CONTROVERSIAL IDEAS PROPOSED TO BLOCK RACIST WEBSITES,0,1,WOS:000087410400010,29,"HUMANITIES, MULTIDISCIPLINARY",ARTS &AMP; HUMANITIES CITATION INDEX (A&AMP;HCI),0,ISI,UNIV BASEL,UNIV BASEL,NA,"ROSENTHAL D, 2000, INDEX CENSORSHIP","ROSENTHAL D, 2000, INDEX CENSORSHIP",SWITZERLAND
PARKER EB,"PARKER, EB","CRONIN FJ, 1993, TELECOMMUN POLICY, V17, P677, DOI 10.1016/0308-5961(93)90039-6;CRONIN FJ, 1993, TELECOMMUN POLICY, V17, P415, DOI 10.1016/0308-5961(93)90013-S;CRONIN FJ, 1991, TELECOMMUN POLICY, V15, P529, DOI 10.1016/0308-5961(91)90007-X;CRONIN FJ, 1992, TELECOMMUNICATIONS P, V16;FISHER C, 1992, AM CALLING SOCIAL HI;HARDY AP, 1980, TELECOMMUN POLICY, V4, P278, DOI 10.1016/0308-5961(80)90044-0;*NTIA, 1999, FALL NET DEF DIG DIV;PARKER E. B., 1995, ELECT BYWAYS STATE P, V2ND",NA,NA,NA,NA,NA,NA,281,"PARKER TELECOMMUN, GLENEDEN BEACH, OR USA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1016/S0308-5961(00)00018-5,ARTICLE,NA,NA,NA,NA,290,,NA,NA,317XT,NA,NA,TELECOMMUNICATIONS INFRASTRUCTURE INVESTMENT; GROWTH,4,TELECOMMUN POLICY,TELECOMMUN. POLICY,ENGLISH,8,NA,NA,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",MAY,10,OXFORD,NA,NA,J,ELSEVIER SCI LTD,2000,NA,"PARKER, EB (CORRESPONDING AUTHOR), PARKER TELECOMMUN, POB 402, GLENEDEN BEACH, OR USA.",COMMUNICATION; INFORMATION SCIENCE & LIBRARY SCIENCE; TELECOMMUNICATIONS,NA,NA,0308-5961,TELECOMMUNICATIONS POLICY,NA,NA,79,CLOSING THE DIGITAL DIVIDE IN RURAL AMERICA,3,24,WOS:000087252800002,24,COMMUNICATION; INFORMATION SCIENCE & LIBRARY SCIENCE; TELECOMMUNICATIONS,SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),80,ISI,NA,EB (CORRESPONDING AUTHOR),NA,"PARKER EB, 2000, TELECOMMUN POLICY","PARKER EB, 2000, TELECOMMUN POLICY",USA
MELHEM S;KRISTINE P;OMOLE D;STANSBURY M,"MELHEM, S;KRISTINE, P;OMOLE, D;STANSBURY, M",NA,NA,NA,NA,"AVERSA, E MANLEY, C",NA,1-57387-138-9,593,"WORLD BANK, WASHINGTON, DC 20433 USA.; FREEPLAY FDN, PITTSBURGH, PA USA.; UNIV NAIROBI, NAIROBI, KENYA.; KENT STATE UNIV, KENT, OH 44242 USA.;",NA,NA,"WASHINGTON, D.C.",64TH ANNUAL MEETING OF THE AMERICAN-SOCIETY-INFORMATION-SCIENCE-AND-TECHNOLOGY,"NOV 03-08, 2001",NA,2022-09-18,NA,NA,ARTICLE; PROCEEDINGS PAPER,NA,NA,NA,NA,595,,NA,NA,BU37V,NA,NA,NA,NA,P ASIST ANNU,NA,ENGLISH,0,NA,NA,"143 OLD MARLTON PIKE, MEDFORD, NJ 08055 USA",NA,3,MEDFORD,NA,NA,S,INFORMATION TODAY INC,2001,NA,"MELHEM, S (CORRESPONDING AUTHOR), WORLD BANK, 1818 H ST NW, WASHINGTON, DC 20433 USA.",COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,PROCEEDINGS OF THE ASIST ANNUAL MEETING,NA,0044-7870,"ASIST 2001: PROCEEDINGS OF THE 64TH ASIST ANNUAL MEETING, VOL 38, 2001",AMER SOC INFORMAT SCI TECHNOL,NA,0,"DIGITAL DIVIDE: ISSUES, POLICY AND CASE STUDIES",0,2,WOS:000175838000073,38,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",CONFERENCE PROCEEDINGS CITATION INDEX - SCIENCE (CPCI-S); CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH); SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),0,ISI,WORLD BANK;FREEPLAY FDN;UNIV NAIROBI;KENT STATE UNIV,S (CORRESPONDING AUTHOR),NA,"MELHEM S, 2001, P ASIST ANNU","MELHEM S, 2001, P ASIST ANNU",KENYA;USA;USA;USA
